Date,Kick-off,Home team,Away team,Location,Confirmed?,BT Sport?
2017-09-01,18:45,Gloucester Rugby,Exeter Chiefs,Kingsholm,N
2017-09-01,18:45,Newcastle Falcons,Worcester Warriors,Kingston Park,N
2017-09-02,13:00,Saracens,Northampton Saints,Twickenham Stadium,N
2017-09-02,14:00,Wasps,Sale Sharks,Ricoh Arena,N
2017-09-02,15:45,London Irish,Harlequins,Twickenham Stadium,N
2017-09-03,14:00,Leicester Tigers,Bath Rugby,Welford Road,N
2017-09-08,18:45,Sale Sharks,Newcastle Falcons,AJ Bell Stadium,N
2017-09-09,13:00,Bath Rugby,Saracens,Recreation Ground,N
2017-09-09,14:00,Exeter Chiefs,London Irish,Sandy Park,N
2017-09-09,14:00,Harlequins,Gloucester Rugby,Twickenham Stoop,N
2017-09-09,15:30,Northampton Saints,Leicester Tigers,Franklin's Gardens,N
2017-09-10,14:00,Worcester Warriors,Wasps,Sixways,N
2017-09-15,18:45,Northampton Saints,Bath Rugby,Franklin's Gardens,N
2017-09-15,18:45,Worcester Warriors,Exeter Chiefs,Sixways,N
2017-09-15,19:00,Sale Sharks,London Irish,AJ Bell Stadium,N
2017-09-16,14:00,Leicester Tigers,Gloucester Rugby,Welford Road,N
2017-09-16,21:00,Newcastle Falcons,Saracens,Talen Energy Stadium,N
2017-09-17,14:00,Wasps,Harlequins,Ricoh Arena,N
2017-09-22,18:45,Gloucester Rugby,Worcester Warriors,Kingsholm,N
2017-09-23,14:00,Bath Rugby,Newcastle Falcons,Recreation Ground,N
2017-09-23,14:00,Harlequins,Leicester Tigers,Twickenham Stoop,N
2017-09-23,14:00,Saracens,Sale Sharks,Allianz Park,N
2017-09-24,14:00,Exeter Chiefs,Wasps,Sandy Park,N
2017-09-24,14:00,London Irish,Northampton Saints,Madejski Stadium,N
2017-09-29,18:45,Newcastle Falcons,London Irish,Kingston Park,N
2017-09-29,18:45,Worcester Warriors,Saracens,Sixways,N
2017-09-29,19:00,Sale Sharks,Gloucester Rugby,AJ Bell Stadium,N
2017-09-30,14:00,Leicester Tigers,Exeter Chiefs,Welford Road,N
2017-09-30,14:00,Northampton Saints,Harlequins,Franklin's Gardens,N
2017-10-01,14:00,Wasps,Bath Rugby,Ricoh Arena,N
2017-10-06,18:45,Harlequins,Sale Sharks,Twickenham Stoop,N
2017-10-07,14:00,Bath Rugby,Worcester Warriors,Recreation Ground,N
2017-10-07,14:00,Exeter Chiefs,Newcastle Falcons,Sandy Park,N
2017-10-07,14:00,Gloucester Rugby,Northampton Saints,Kingsholm,N
2017-10-07,14:00,London Irish,Leicester Tigers,Madejski Stadium,N
